date,Materials,Industrials,Health Care,Real Estate,Consumer Discretionary,Financials,Utilities,Information Technology,Energy,Consumer Staples,Communication Services
2019/9/26,0,0,0,0,0,0,0,0,0,0,0
2019/9/27,0,0,0,0,0,0,0,0,0,0,0
2019/9/30,0,0,0,0,0,0,0,0,0,0,0
2019/10/1,0,0,0,0,0,0,0,0,0,0,0
2019/10/2,0,0,0,0,0,0,0,0,0,0,0
2019/10/3,0,0,0,0,0,0,0,0,0,0,0
2019/10/4,0,0,0,0,0,0,0,0,0,0,0
2019/10/7,0,0,0,0,0,0,0,0,0,0,0
2019/10/8,0,0,0,0,0,0,0,0,0,0,0
2019/10/9,0,0,0,0,0,0,0,0,0,0,0
2019/10/10,0,0,0,0,0,0,0,0,0,0,0
2019/10/11,0,0,0,0,0,0,0,0,0,0,0
2019/10/14,0,0,0,0,0,0,0,0,0,0,0
2019/10/15,0,0,0,0,0,0,0,0,0,0,0
2019/10/16,0,0,0,0,0,0,0,0,0,0,0
2019/10/17,0,0,0,0,0,0,0,0,0,0,0
2019/10/18,0,0,0,0,0,0,0,0,0,0,0
2019/10/21,0,0,0,0,0,0,0,0,0,0,0
2019/10/22,0,0,0,0,0,0,0,0,0,0,0
2019/10/23,0,0,0,0,0,0,0,0,0,0,0
2019/10/24,0,0,0,0,0,0,0,0,0,0,0
2019/10/25,0,0,0,0,0,0,0,0,0,0,0
2019/10/28,0,0,0,0,0,0,0,0,0,0,0
2019/10/29,0,0,0,0,0,0,0,0,0,0,0
2019/10/30,0,0,0,0,0,0,0,0,0,0,0
2019/10/31,0,0,0,0,0,0,0,0,0,0,0
2019/11/1,0,0,0,0,0,0,0,0,0,0,0
2019/11/4,0,0,0,0,0,0,0,0,0,0,0
2019/11/5,0,0,0,0,0,0,0,0,0,0,0
2019/11/6,0,0,0,0,0,0,0,0,0,0,0
2019/11/7,0,0,0,0,0,0,0,0,0,0,0
2019/11/8,0,0,0,0,0,0,0,0,0,0,0
2019/11/11,0,0,0,0,0,0,0,0,0,0,0
2019/11/12,0,0,0,0,0,0,0,0,0,0,0
2019/11/13,0,0,0,0,0,0,0,0,0,0,0
2019/11/14,0,0,0,0,0,0,0,0,0,0,0
2019/11/15,0,0,0,0,0,0,0,0,0,0,0
2019/11/18,0,0,0,0,0,0,0,0,0,0,0
2019/11/19,0,0,0,0,0,0,0,0,0,0,0
2019/11/20,0,0,0,0,0,0,0,0,0,0,0
2019/11/21,0,0,0,0,0,0,0,0,0,0,0
2019/11/22,0,0,0,0,0,0,0,0,0,0,0
2019/11/25,0,0,0,0,0,0,0,0,0,0,0
2019/11/26,0,0,0,0,0,0,0,0,0,0,0
2019/11/27,0,0,0,0,0,0,0,0,0,0,0
2019/11/29,0,0,0,0,0,0,0,0,0,0,0
2019/12/2,0,0,0,0,0,0,0,0,0,0,0
2019/12/3,0,0,0,0,0,0,0,0,0,0,0
2019/12/4,0,0,0,0,0,0,0,0,0,0,0
2019/12/5,0,0,0,0,0,0,0,0,0,0,0
2019/12/6,0,0,0,0,0,0,0,0,0,0,0
2019/12/9,0,0,0,0,0,0,0,0,0,0,0
2019/12/10,0,0,0,0,0,0,0,0,0,0,0
2019/12/11,0,0,0,0,0,0,0,0,0,0,0
2019/12/12,0,0,0,0,0,0,0,0,0,0,0
2019/12/13,0,0,0,0,0,0,0,0,0,0,0
2019/12/16,0,0,0,0,0,0,0,0,0,0,0
2019/12/17,0,0,0,0,0,0,0,0,0,0,0
2019/12/18,0,0,0,0,0,0,0,0,0,0,0
2019/12/19,0,0,0,0,0,0,0,0,0,0,0
2019/12/20,0,0,0,0,0,0,0,0,0,0,0
2019/12/23,0,0,0,0,0,0,0,0,0,0,0
2019/12/24,0,0,0,0,0,0,0,0,0,0,0
2019/12/26,0,0,0,0,0,0,0,0,0,0,0
2019/12/27,0,0,0,0,0,0,0,0,0,0,0
2019/12/30,0,0,0,0,0,0,0,0,0,0,0
2019/12/31,0,0,0,0,0,0,0,0,0,0,0
2020/1/2,0,0,0,0,0,0,0,0,0,0,0
2020/1/3,0,0,0,0,0,0,0,0,0,0,0
2020/1/6,0,0,0,0,0,0,0,0,0,0,0
2020/1/7,0,0,0,0,0,0,0,0,0,0,0
2020/1/8,0,0,0,0,0,0,0,0,0,0,0
2020/1/9,0,0,0,0,0,0,0,0,0,0,0
2020/1/10,0,0,0,0,0,0,0,0,0,0,0
2020/1/13,0,0,0,0,0,0,0,0,0,0,0
2020/1/14,0,0,0,0,0,0,0,0,0,0,0
2020/1/15,0,0,0,0,0,0,0,0,0,0,0
2020/1/16,0,0,0,0,0,0,0,0,0,0,0
2020/1/17,0,0,0,0,0,0,0,0,0,0,0
2020/1/21,0,0,0,0,0,0,0,0,0,0,0
2020/1/22,0,0,0,0,0,0,0,0,0,0,0
2020/1/23,0,0,0,0,0,0,0,0,0,0,0
2020/1/24,0,0,0,0,0,0,0,0,0,0,0
2020/1/27,0,0,0,0,0,0,0,0,0,0,0
2020/1/28,0,0,0,0,0,0,0,0,0,0,0
2020/1/29,0,0,0,0,0,0,0,0,0,0,0
2020/1/30,0,0,0,0,0,0,0,0,0,0,0
2020/1/31,0,0,0,0,0,0,0,0,0,0,0
2020/2/3,0,0,0,0,0,0,0,0,0,0,0
2020/2/4,0,0,0,0,0,0,0,0,0,0,0
2020/2/5,0,0,0,0,0,0,0,0,0,0,0
2020/2/6,0,0,0,0,0,0,0,0,0,0,0
2020/2/7,0,0,0,0,0,0,0,0,0,0,0
2020/2/10,0,0,0,0,0,0,0,0,0,0,0
2020/2/11,0,0,0,0,0,0,0,0,0,0,0
