date,Materials,Industrials,Health Care,Real Estate,Consumer Discretionary,Financials,Utilities,Information Technology,Energy,Consumer Staples,Communication Services
2019-09-26,1817127.8076923077,521857.94029850734,877099.3235294119,859987.0357142857,1684430.523809524,928750.2424242424,460762.4,658154.0789473684,5214409.882352941,893590.875,777330.4999999999
2019-09-27,1931889.576923077,529083.5522388059,841746.5882352941,869016.107142857,1646845.2063492062,990495.1818181819,453285.5333333333,716326.2368421052,4411037.5882352935,795817.5,828068.1666666665
2019-09-30,1872193.9999999998,546514.3432835821,791994.4705882353,945373.3214285714,2119973.349206349,933043.4393939395,536772.2000000001,696123.2631578947,5310094.882352941,890308.9375,992370.8333333334
2019-10-01,2623395.307692308,630057.9552238804,902503.7941176471,813539.107142857,1827209.1904761903,1015231.7424242422,457882.3333333333,854485.6842105263,6009503.94117647,904215.6875,1031507.1666666667
2019-10-02,2575793.0384615385,709264.6119402986,1112051.3529411764,981719.1785714286,2169787.7460317463,1180445.9696969697,512731.6666666667,836347.6315789474,5626009.882352941,838375.6875,1288180.6666666665
2019-10-03,2901175.653846154,600020.686567164,904738.1470588235,992105.4642857143,1713950.7142857143,1089545.8030303032,448605.2,799099.8684210526,5273983.176470588,789156.5625,1276759.8333333333
2019-10-04,2067428.769230769,433330.9701492537,921038.7941176471,792920.142857143,1471404.0793650795,842495.2727272728,440432.8,713386.7631578947,5076006.588235294,982563.625,854019.6666666667
2019-10-07,4004452.846153847,472178.01492537314,729128.705882353,820858.5357142857,1712107.6190476187,881365.0606060607,462994.4,666229.7368421053,4508542.705882353,759974.5,818409.1666666666
2019-10-08,2267301.7692307695,470518.14925373124,849125.5588235295,1023609.1071428572,1669587.1428571423,990979.7121212122,530065.6,680130.1578947369,4673182.176470588,749364.5,774389.3333333333
2019-10-09,2969465.653846154,381188.65671641787,589904.1470588235,683122.75,1504238.825396825,761734.8484848486,508230.93333333335,521929.9210526316,4122827.882352941,714920.5,799048.5
2019-10-10,2393104.576923077,445146.41791044764,581587.8235294118,763193.8928571427,1557121.4126984125,870948.9393939395,471778.3333333333,815243.7105263157,4001284.4705882347,683066.0,840674.3333333333
