date,Materials,Industrials,Health Care,Real Estate,Consumer Discretionary,Financials,Utilities,Information Technology,Energy,Consumer Staples,Communication Services
2000-01-04,345388.95238095237,396588.40425531915,333422.8125,98782.5625,694893.75,235307.6744186046,123696.45454545454,738020.9090909092,333797.625,203379.125,384625.0
2000-01-05,457444.0952380952,441508.7142857142,256259.11764705883,109816.0,837709.375,207513.32558139536,490148.54545454547,1160541.1818181819,406316.0,181086.0,420875.0
2000-01-06,480816.5238095238,339793.4285714285,376177.76470588235,107236.9375,1242315.625,185944.6511627907,139097.45454545456,1168490.7272727273,342886.875,306957.625,315925.0
2000-01-07,408331.38095238095,389937.5625,403742.17647058825,171373.0625,926128.125,219475.8809523809,192216.63636363638,1235088.1363636365,586391.5,474322.5714285715,341050.0
2000-01-10,385219.5238095238,431528.612244898,393175.29411764705,112760.8125,806553.125,161326.7441860465,125774.18181818181,821543.4545454546,215876.125,203777.875,487500.0
2000-01-11,249176.42857142855,396860.9795918368,410392.0,109017.4375,849662.5,206702.62790697676,96273.36363636365,845066.5909090908,164925.25,170030.875,438450.0
2000-01-12,283474.47619047615,381154.9387755102,327138.82352941175,64763.5625,766140.625,165383.67441860464,107800.18181818181,824221.4545454545,209652.25,277528.0,452025.0
2000-01-13,260497.4761904762,328283.91836734687,356923.0588235294,77682.9375,846359.375,211732.0930232558,194852.81818181818,707626.4090909092,330823.375,191756.28571428574,320850.0
2000-01-14,290162.95238095237,348022.46938775515,296993.0588235294,71932.875,1016203.125,249197.37209302324,159132.0909090909,1235230.0,328821.625,308271.14285714284,388450.0
2000-01-18,313280.6666666667,324737.69387755095,240526.76470588235,88095.375,767928.125,187318.41860465115,148186.9090909091,1072540.090909091,329906.0,236282.25,496900.0
2000-01-19,371083.238095238,499257.9795918367,334264.3529411765,122966.5625,975915.625,153255.41860465115,105977.81818181819,778755.5,494360.375,344802.4285714286,447500.0
2000-01-20,424614.42857142864,443294.7346938774,511483.94444444444,93949.1875,772381.25,230224.53488372095,216158.00000000003,1098377.9090909092,274860.625,454562.625,596675.0
2000-01-21,357971.09523809515,423472.7755102041,387661.0555555555,138313.75,1020909.375,206926.90697674418,377761.81818181823,1240640.363636364,368841.875,629567.0,499175.0
2000-01-24,267320.61904761905,475144.30612244894,376401.22222222225,151657.0625,917296.875,226778.06976744186,411681.27272727276,935475.1818181819,331332.5,344523.375,546500.0
2000-01-25,328310.5714285714,373357.1836734693,300057.3333333333,148504.4375,1257340.625,221591.41860465117,321685.0909090909,818966.9090909092,228873.5,217291.75,539675.0
2000-01-26,446033.80952380947,440827.8775510204,310031.94444444444,153960.4375,973318.75,232748.11627906977,270123.36363636365,836634.9090909092,483906.375,371986.85714285716,628800.0
2000-01-27,332103.1428571428,309897.2448979591,311511.8888888888,114165.8125,867384.375,206688.74418604653,147862.18181818182,805320.5909090908,345543.875,336991.75,451075.0
2000-01-28,422505.4285714286,983691.2291666665,313984.61111111107,150799.625,1048200.0,206448.04651162794,275104.9090909091,677883.2272727273,490100.875,193179.625,457525.0
2000-01-31,327694.85714285704,316515.63265306124,250504.9411764706,172263.375,691640.625,167502.18604651163,206880.54545454544,742163.9090909092,193497.75,290676.75,522000.0
2000-02-01,355123.99999999994,344249.4081632653,315276.2941176471,115394.8125,871675.0,189573.3023255814,144185.36363636365,730047.8636363638,203662.25,268422.0,415950.0
2000-02-02,328113.23809523816,411252.99999999994,272697.9411764706,109453.625,1005315.625,208349.53488372095,147168.18181818182,1062460.0454545454,212001.125,281147.0,497600.0
2000-02-03,249740.14285714287,580914.7959183673,344495.82352941175,129440.4375,1611959.375,199640.47619047615,142272.36363636362,1176135.4090909092,225768.0,331209.625,2092575.0
2000-02-04,259446.7619047619,466783.6666666666,294194.5,185981.1875,1596784.40625,196596.02325581393,149864.18181818182,764844.9545454547,294785.75,335974.625,823325.0
2000-02-07,383254.1904761904,321800.387755102,290042.76470588235,100875.75,1026512.5,207226.02325581395,125842.54545454547,703967.9999999999,481816.125,280699.5,873625.0
2000-02-08,350158.0476190475,385127.2857142857,277762.4705882353,97949.625,950925.0,263638.20930232556,176433.36363636365,872982.818181818,251463.875,299341.125,562875.0
2000-02-09,475616.38095238095,392887.1458333334,315424.8823529412,271713.6875,888978.125,260812.65116279075,146178.18181818182,1036522.2727272727,436835.625,452703.4285714285,663425.0
2000-02-10,437979.61904761905,699374.2653061223,364617.88235294115,246943.125,930840.625,655859.6046511628,191610.0,1322949.9545454546,797366.25,221325.875,639525.0
2000-02-11,399588.1904761904,480907.14285714296,410203.0588235294,104836.625,924215.625,479033.0697674418,176643.09090909088,1080339.7272727273,465738.625,194377.25,838550.0
2000-02-14,308453.7619047619,436442.8979591837,337826.8235294118,128110.125,984778.125,306249.71428571426,171646.63636363638,1702608.590909091,325835.0,214989.28571428568,616025.0
