,hidden_channels1,activation_func,dropout_rate,kernel_size,lr,mae
0,16,ReLU(),0.1,3,0.001,0.5904294
1,16,ReLU(),0.1,5,0.001,0.6099441
2,16,ReLU(),0.1,7,0.001,0.6112551
3,16,ReLU(),0.1,11,0.001,0.6191617
4,16,ReLU(),0.2,3,0.001,0.6091317
5,16,ReLU(),0.2,5,0.001,0.6111737
6,16,ReLU(),0.2,7,0.001,0.6134645
7,16,ReLU(),0.2,11,0.001,0.61982036
8,16,LeakyReLU(negative_slope=0.01),0.1,3,0.001,0.6068595
9,16,LeakyReLU(negative_slope=0.01),0.1,5,0.001,0.6104397
10,16,LeakyReLU(negative_slope=0.01),0.1,7,0.001,0.6096609
11,16,LeakyReLU(negative_slope=0.01),0.1,11,0.001,0.61850876
12,16,LeakyReLU(negative_slope=0.01),0.2,3,0.001,0.60866326
13,16,LeakyReLU(negative_slope=0.01),0.2,5,0.001,0.6076889
14,16,LeakyReLU(negative_slope=0.01),0.2,7,0.001,0.61356354
15,16,LeakyReLU(negative_slope=0.01),0.2,11,0.001,0.6174908
16,16,Tanh(),0.1,3,0.001,0.5583163
17,16,Tanh(),0.1,5,0.001,0.5595787
18,16,Tanh(),0.1,7,0.001,0.5745719
19,16,Tanh(),0.1,11,0.001,0.56478655
20,16,Tanh(),0.2,3,0.001,0.54997927
21,16,Tanh(),0.2,5,0.001,0.5606072
22,16,Tanh(),0.2,7,0.001,0.5623419
23,16,Tanh(),0.2,11,0.001,0.569282
24,32,ReLU(),0.1,3,0.001,0.47766617
25,32,ReLU(),0.1,5,0.001,0.4649006
26,32,ReLU(),0.1,7,0.001,0.50346595
27,32,ReLU(),0.1,11,0.001,0.5127671
28,32,ReLU(),0.2,3,0.001,0.47349396
29,32,ReLU(),0.2,5,0.001,0.47301716
30,32,ReLU(),0.2,7,0.001,0.4856285
31,32,ReLU(),0.2,11,0.001,0.49936557
32,32,LeakyReLU(negative_slope=0.01),0.1,3,0.001,0.49119344
33,32,LeakyReLU(negative_slope=0.01),0.1,5,0.001,0.49915707
34,32,LeakyReLU(negative_slope=0.01),0.1,7,0.001,0.48962247
35,32,LeakyReLU(negative_slope=0.01),0.1,11,0.001,0.50249213
36,32,LeakyReLU(negative_slope=0.01),0.2,3,0.001,0.48110878
37,32,LeakyReLU(negative_slope=0.01),0.2,5,0.001,0.4749303
38,32,LeakyReLU(negative_slope=0.01),0.2,7,0.001,0.48219708
39,32,LeakyReLU(negative_slope=0.01),0.2,11,0.001,0.50863373
40,32,Tanh(),0.1,3,0.001,0.44877282
41,32,Tanh(),0.1,5,0.001,0.45537525
42,32,Tanh(),0.1,7,0.001,0.4539599
43,32,Tanh(),0.1,11,0.001,0.4484012
44,32,Tanh(),0.2,3,0.001,0.4492769
45,32,Tanh(),0.2,5,0.001,0.45250455
46,32,Tanh(),0.2,7,0.001,0.45605043
47,32,Tanh(),0.2,11,0.001,0.46178934
48,64,ReLU(),0.1,3,0.001,0.35954398
49,64,ReLU(),0.1,5,0.001,0.38131857
50,64,ReLU(),0.1,7,0.001,0.3930895
51,64,ReLU(),0.1,11,0.001,0.4155519
52,64,ReLU(),0.2,3,0.001,0.3550891
53,64,ReLU(),0.2,5,0.001,0.36667895
54,64,ReLU(),0.2,7,0.001,0.39189976
55,64,ReLU(),0.2,11,0.001,0.4225121
56,64,LeakyReLU(negative_slope=0.01),0.1,3,0.001,0.35903814
57,64,LeakyReLU(negative_slope=0.01),0.1,5,0.001,0.36937383
58,64,LeakyReLU(negative_slope=0.01),0.1,7,0.001,0.38075373
59,64,LeakyReLU(negative_slope=0.01),0.1,11,0.001,0.4169318
60,64,LeakyReLU(negative_slope=0.01),0.2,3,0.001,0.36506125
61,64,LeakyReLU(negative_slope=0.01),0.2,5,0.001,0.371406
62,64,LeakyReLU(negative_slope=0.01),0.2,7,0.001,0.38405707
63,64,LeakyReLU(negative_slope=0.01),0.2,11,0.001,0.4285924
64,64,Tanh(),0.1,3,0.001,0.23037753
65,64,Tanh(),0.1,5,0.001,0.25812376
66,64,Tanh(),0.1,7,0.001,0.2420922
67,64,Tanh(),0.1,11,0.001,0.26579377
68,64,Tanh(),0.2,3,0.001,0.2308262
69,64,Tanh(),0.2,5,0.001,0.2385436
70,64,Tanh(),0.2,7,0.001,0.25037897
71,64,Tanh(),0.2,11,0.001,0.26540607
